Pct_2,Pct_1,Outcome,Net_immigration,Population,Populationdensity,GDHIPH,GGDHI,Taxes,Benefits,Median_age,0to10,10to20,20to30,30to40,40to50,50to60,60to70,70to80,80to90
60.4,39.6,2,11.9,343196,6129,26655,2.934259156,5434.21,5431.3,35.9,15.92,10.93,14.7,17.32,14.54,11.35,7.99,4.81,2.86
49.08,50.92,1,3.7,87825,135,20406,2.272727273,4235.7,5237.69,42.6,14.25,10.64,9.93,13.22,15.01,13.31,11.62,7.8,4.59
45.89,54.11,1,1.7,139908,172,18358,1.099332548,2115.68,3823.94,50.5,10.95,9.72,8.63,8.94,12.63,13.83,15.44,12.05,8.03
42.38,57.62,1,1.6,89093,252,20555,0.109349371,2581.57,3906.03,51.7,10.37,9.59,8.15,8.22,12.62,14.45,15.78,12.52,8.24
50.52,49.48,2,2.8,117955,229,24662,1.139896373,4518.67,4891.7,46.5,12.3,11.53,9.01,9.94,14.81,15.4,13.02,9.08,5.51
49.64,50.36,1,2.9,146309,307,24377,1.221938051,5351.69,5358.52,42.1,13.53,11.46,10.5,12.78,15.8,14.2,10.41,6.91,4.24
29.35,70.65,1,1.7,138443,78,15878,-0.944244604,2203.07,3857.18,51.2,10.52,9.52,9.14,8.43,12.22,14.98,17,12.23,6.14
41.24,58.76,1,1.8,90999,178,18375,1.757575758,3022.01,4340.71,44.1,12.91,11.87,9.99,11.23,15.31,13.94,12.85,7.89,4.39
39.6,60.4,1,1.8,337696,140,18427,1.483534398,2759.88,4225.69,48,11.12,10.6,9.11,9.81,13.94,15,14.73,10.12,5.56
36.79,63.21,1,3,116701,302,18253,2.056432329,2879.15,4395.85,41.9,13.64,11.14,12.01,12.3,14.14,13.8,11.12,7.75,4.27
42.67,57.33,1,4.9,103054,2342,20524,0.666666667,3435.09,3978.5,44.9,12.08,10.75,10.98,11.53,12.71,12.84,12.57,9.25,7.18
47.55,52.45,1,2.3,129635,1620,20647,2.17723453,3463.57,4605.24,42.1,13.49,10.81,11.53,12.71,14.09,13.71,11.37,7.63,4.55
46.68,53.32,1,1.6,52639,25,19844,-0.095602294,2488.65,4008.43,49.3,10.3,9.88,9.21,9.35,13.81,15.7,15.32,10.45,5.93
59.53,40.47,2,3.4,132764,1398,29325,-0.299775169,6635.84,5897.68,42.5,16.3,11.47,8.34,13.47,16.55,14.01,10.28,6.99,5.05
55.82,44.18,2,10.1,331395,4091,21444,2.889338342,2866.67,4396.57,35.5,16.49,12.19,14.34,15.21,13.95,11.86,7.69,5.27,3.18
37.31,62.69,1,2.6,130321,384,24393,2.126973896,4373.82,4772.83,42.6,13.24,10.46,11.55,12.42,14.44,13.75,11.06,7.63,5.09
52.08,47.92,2,2,79588,2341,27973,0.045269353,5930.54,5365.13,41.1,14.08,11.71,10.37,13.11,14.91,13.15,10.37,7.02,4.5
38.77,61.23,1,1.4,114891,1044,18760,2.273803884,3533.78,4613.07,43.4,12.66,10.54,12.25,11.57,14.83,13.96,11.51,8.08,4.75
55.28,44.72,2,3.6,129801,2762,20820,2.50965251,2480.72,3744.19,33.8,11.05,13.72,20.28,12.36,11.36,10.4,8.7,6.02,4.3
44.9,55.1,1,1.9,115423,1560,20307,2.039045553,3396.2,4626.46,45.8,11.47,10.9,10.69,10.79,14.32,14.6,12.58,9.3,5.65
